população,popAte9,popDe10a14,popDe15a19,popDe20a24,popDe25a34,popDe35a49,popDe50a59,popMaisDe60,domiciliosA1,domiciliosA2,domiciliosB1,domiciliosB2,domiciliosC1,domiciliosC2,domiciliosD,domiciliosE
9935,495,254,419,634,1650,2046,1583,2854,95,326,1295,1221,1218,427,39,187
39762,3570,1607,2310,2629,5733,8312,5731,9870,737,1516,4647,2968,2333,1740,259,865
173,33,13,22,17,28,38,10,12,0,0,0,0,5,17,8,16
48475,5665,2777,3497,3435,7196,10091,6361,9453,0,115,1257,2835,4290,3527,749,3968
112994,18088,8474,10307,9069,18732,25269,10811,12244,0,0,1429,4066,9306,11066,2289,7258
16177,1516,748,1016,1174,2488,3497,2327,3411,0,141,857,1464,1740,1030,87,432
22609,2916,1390,1809,1664,3327,4721,2767,4015,0,0,387,1378,2120,2394,427,1044
13660,911,349,571,787,2256,2922,2237,3627,799,1139,2136,921,564,313,85,204
46989,6423,2857,3532,3436,7242,9478,5728,8293,0,0,935,2417,4077,3771,849,3908
66391,10030,4960,6307,5418,10477,14243,7205,7751,0,0,597,3086,5360,6701,1278,4041
43948,3061,1311,1957,2395,5854,8665,6344,14361,4213,3432,4478,2323,2141,1369,117,1460
99102,9633,4743,6564,6855,14400,20477,14384,22046,0,636,4874,8325,10129,6948,1222,3103
39500,6110,2450,3224,3863,8203,9317,3403,2930,429,342,971,2016,4488,3625,716,972
9538,1326,629,763,712,1547,1921,1108,1532,0,15,161,492,633,792,197,540
161748,24961,10376,13874,16321,32572,35693,14500,13451,422,1244,3405,7984,17034,15909,3178,6837
38908,5861,2687,3451,3777,6790,8163,3992,4187,0,0,246,1113,2656,3974,795,3254
25937,2647,1374,1993,2311,3881,5665,3468,4598,0,0,754,1511,2494,1943,433,1488
18517,1602,664,945,1008,2788,4135,2822,4553,1641,1273,1913,1108,815,361,0,289
25549,3007,1320,1827,1992,4168,5526,3316,4393,0,83,1325,1481,2649,2172,377,875
33122,2706,1327,1912,2154,4899,7302,4921,7901,809,1824,4160,2202,1529,798,265,393
13431,1379,713,929,847,2044,3325,1837,2357,0,265,1278,1163,983,575,78,313
842,61,29,35,46,131,192,132,216,79,59,57,33,7,8,0,20
21795,1794,708,1054,1252,2943,4812,3594,5638,2916,2140,1931,697,365,306,0,469
46839,3463,1529,2340,2814,7145,9917,6877,12754,2423,3297,5831,3467,3029,1180,118,557
47342,3134,1380,2131,2390,6177,9519,7181,15430,5423,3532,5342,1863,1890,917,217,1595
15216,1100,570,739,961,2391,2917,2080,4458,815,1106,1298,1009,1021,615,95,650
38547,4302,2053,2704,2720,5787,8563,4990,7428,0,290,2064,2382,2922,2114,380,2855
51520,5608,2812,3753,3907,7548,10437,7068,10387,0,110,1747,4124,5487,3566,834,2032
25119,3040,1460,2044,2038,3741,5282,3311,4203,0,63,393,1766,2544,2230,357,1226
18340,3282,1427,1664,1680,2925,3483,1893,1986,0,0,99,475,1268,1837,380,1329
37180,6837,3025,3364,3342,6766,7832,3256,2758,0,0,117,861,3179,4128,975,2007
25969,1696,843,1370,1921,4020,5134,4124,6861,739,1695,3191,1924,1522,877,0,497
133432,22021,9536,12193,12618,24528,29204,11868,11464,0,0,640,4262,12818,15295,2977,8274
49419,5878,2837,3799,3699,7139,10280,6634,9153,0,117,1515,2985,4678,4447,931,2281
8198,782,364,479,514,1292,1720,1171,1876,0,102,603,721,842,476,41,206
51234,3371,1719,2751,3246,6801,9850,8170,15326,510,1873,5463,5089,3911,1570,131,1356
6381,455,248,327,391,1005,1345,932,1678,0,245,828,645,419,162,30,84
59136,6058,2939,3925,4016,8517,12453,7775,13453,0,423,2819,4396,6318,4145,697,2226
35000,3420,1904,2477,2462,4867,7325,5027,7518,0,179,1446,2409,3848,2543,413,1635
97298,14810,7157,8957,7881,15238,20462,10862,11931,0,0,951,4010,8613,9091,1902,5853
66040,8181,3877,5208,4835,9800,13956,8811,11372,0,83,1748,4125,6651,5842,1199,2785
3270,369,158,229,195,389,566,492,872,0,10,115,244,380,329,65,108
24598,3461,1605,2363,2498,4000,4785,2400,3486,0,0,209,686,1981,2763,420,1582
26951,3177,1552,2074,1876,4033,5963,3335,4941,0,0,681,1789,3055,2100,243,1125
9462,1318,672,871,707,1396,2169,1012,1317,0,0,143,511,1022,651,195,592
100006,14409,6774,8267,7615,15427,21319,11714,14481,0,0,1786,4785,10037,8612,1998,5707
35689,3614,1675,2290,2363,5930,8039,5077,6701,0,755,3512,3130,2895,1541,144,1249
9666,1139,535,715,690,1415,2068,1284,1820,0,0,231,662,876,783,150,532
80900,9269,4616,7545,8520,12940,15618,9160,13232,0,239,2129,4629,7639,6086,1082,3563
49165,5348,2662,4045,3936,7353,9601,6349,9871,0,348,1893,3750,3988,3411,459,2662
44603,4657,2192,3121,3246,6454,9487,6121,9325,0,95,2107,3222,4470,3969,500,1412
28018,3008,1476,1999,1993,4011,5830,3820,5881,0,0,913,1659,2729,1997,456,2074
12088,1513,697,945,900,1838,2663,1520,2012,0,93,330,564,1076,1049,185,858
24529,2372,1165,1547,1837,3883,5036,3204,5485,0,330,1650,2109,2156,1471,287,805
8908,643,321,501,593,1340,1884,1281,2345,124,298,939,892,628,537,75,140
65958,8037,3784,5024,4694,10060,13880,8260,12219,0,484,3359,4409,6273,4442,780,2418
6116,622,276,356,407,1129,1360,761,1205,0,85,452,639,629,244,38,177
32064,3322,1700,2162,2310,4733,6797,4385,6655,0,264,1151,2315,3451,2773,331,910
41943,4289,2161,2900,2956,6495,9223,5495,8424,0,238,1799,3163,5001,3269,272,1167
185206,23513,11337,14883,14252,27747,39378,23702,30394,0,242,4551,11214,18442,16361,3661,8364
84538,10102,4229,5804,6423,14960,20404,10651,11965,2815,4307,7544,4011,4747,3339,800,2484
13009,1094,515,760,882,1900,2707,1972,3179,0,154,776,1407,1397,693,102,280
3629,339,150,205,229,482,771,578,875,0,117,374,315,290,112,23,109
30137,3735,1842,2490,2251,4436,6721,3798,4864,0,0,478,1561,2456,2588,401,2873
44998,5332,2397,3448,3757,7160,9375,5527,8002,0,387,2119,2775,3715,3930,617,1681
9012,713,416,561,589,1293,2051,1317,2072,0,109,663,950,891,388,85,232
45436,5371,2604,3448,3367,6721,9449,6121,8355,0,0,1004,3223,4767,3922,556,2297
71315,11817,4576,6527,7855,14629,15004,5968,4939,0,0,149,2298,6761,8969,1402,5242
11203,1519,667,908,964,1839,2366,1224,1716,0,49,290,615,877,1014,157,430
223440,35572,16403,20998,18090,34697,46774,23878,27028,0,0,2057,8310,18161,22160,4572,14833
42081,4341,2130,2887,3499,7584,9814,5201,6625,150,453,2290,2790,4882,3508,615,1565
42629,5738,2720,3708,3296,6650,9887,5049,5581,0,0,672,2287,4163,4281,722,1796
12678,1629,728,962,1039,2114,2749,1554,1903,0,0,121,537,1436,1208,193,823
11290,885,500,661,726,1464,2463,1741,2850,939,956,744,418,432,356,37,207
25371,2676,1260,1788,1956,3902,5406,3340,5043,0,118,1207,1750,2853,1811,335,1040
8578,972,502,613,758,1417,1764,1092,1460,0,92,480,701,666,581,131,358
2827,281,153,160,251,574,590,343,475,0,0,44,125,263,293,53,225
108492,15597,7178,9358,9024,16818,22481,12713,15323,0,60,1679,4459,9656,10096,2173,7987
31463,4094,2048,2746,2405,4951,6955,3854,4410,0,0,602,2028,2988,2803,502,1499
58172,9222,4258,5189,4395,8075,11859,6616,8558,0,0,423,2186,4931,5847,1133,4395
38925,4782,2256,2951,2968,6188,8480,4953,6347,0,106,1771,2493,3803,2937,720,1490
105009,11084,5474,7981,8028,16085,23292,14297,18768,142,899,6441,7581,9678,6934,1111,3111
30403,4008,1783,2398,2442,4930,6505,3601,4736,0,138,1081,1651,2673,2467,436,1962
168267,13033,6405,9750,10968,23657,33313,23892,47249,4351,8306,19076,11631,10755,6539,1280,3723
25341,1998,1039,1454,1589,3636,5685,3910,6030,0,1057,2976,2350,1956,772,0,212
23316,3089,1393,1852,1791,3737,4931,2746,3777,0,0,632,1434,2324,2303,305,1014
17734,2453,1087,1465,1409,2620,3713,2231,2756,0,0,502,1155,1667,1481,238,770
7260,649,340,471,499,892,1896,915,1598,417,592,862,329,224,156,0,125
14436,2125,1003,1262,1149,2492,3250,1599,1556,14,115,501,499,1288,1335,273,711
28018,4547,2026,2703,2602,5010,6512,2431,2187,31,160,693,911,2588,2895,497,1154
15908,1909,878,1182,1320,2667,3381,1885,2686,0,32,467,846,1612,1474,302,935
15595,1908,888,1149,1260,2534,3300,1939,2617,0,0,451,892,1410,1345,259,839
25668,3363,1615,2107,1847,3933,5318,3119,4366,0,137,576,1399,2210,2482,637,1362
13158,1907,904,1139,1165,2245,2948,1417,1433,18,47,124,367,1386,1647,149,827
43000,6229,3049,4189,3789,6424,8806,4738,5776,0,0,725,1429,3097,3726,933,3497
26183,2152,992,1456,1665,3678,5542,4096,6602,0,520,2449,2388,2333,1236,189,631
88426,8117,4021,5750,6128,13459,18234,12029,20688,1417,2352,7949,6209,6402,5244,966,2441
18791,1802,921,1442,1462,2500,3944,2920,3800,0,259,774,1363,1923,1379,190,405
13556,1888,787,1042,982,2542,2908,1528,1879,0,219,714,828,1051,1012,116,465
33190,3166,1619,2255,2326,4752,7183,4950,6939,0,906,2866,2241,2982,1200,360,772
8867,724,387,580,565,1205,1812,1474,2120,0,87,556,836,940,484,75,214
2072,175,74,120,121,318,417,314,533,0,89,234,177,147,72,10,47
94034,12668,6853,9836,7487,14535,21549,10598,10508,0,253,2197,4368,6681,7011,2247,5670
32791,2297,1017,2096,2197,5341,7281,4917,7645,1413,1734,3704,2351,1946,827,291,1617
104193,15070,7343,10631,8657,17749,23364,11567,9812,0,0,1423,4875,8595,10082,3111,5776
12721,953,343,627,819,2142,2833,1790,3214,624,667,1558,1032,915,361,84,404
48417,5078,2396,4018,3571,7388,10751,6648,8567,0,303,1794,2986,4489,2836,1104,2553
26134,2102,996,1694,1553,3625,5837,4026,6301,559,866,2367,1906,1347,974,173,1510
48398,5745,2883,4321,3505,7113,10613,6347,7871,0,63,1881,2773,3800,3430,874,2798
39310,2720,1317,2422,2351,5431,8457,6448,10164,1556,1995,4558,2845,2081,1083,13,1561
15551,1160,507,911,757,1967,3557,2207,4485,839,825,1485,934,777,577,87,379
18304,1486,651,1157,1021,2360,4134,2678,4817,302,778,2150,1345,984,767,107,566
8046,564,287,502,403,828,1749,1254,2459,846,494,630,253,143,98,0,236
24889,1446,661,1374,1716,4861,5421,3834,5576,993,1571,3627,1513,1426,550,203,1367
14818,2063,1142,1640,1185,2053,4221,1567,947,0,0,277,858,1360,1287,259,582
49365,4910,2536,3829,3142,6932,10928,6722,10366,87,255,2458,3258,3380,3007,578,3418
7700,985,436,635,713,1510,1541,779,1101,0,42,297,375,449,318,89,659
75865,8338,4066,6156,5262,12258,16270,9892,13623,0,0,2838,6428,6410,5770,1657,3329
11049,726,303,512,597,1790,2544,1765,2812,906,783,1450,497,444,287,0,616
320,19,12,18,21,46,68,52,84,2,3,14,24,26,12,5,24
17642,992,415,853,1155,3078,3634,2660,4855,1232,1297,2380,966,869,361,152,607
20907,1910,911,1336,1467,3031,4444,3003,4805,292,667,1809,1750,1136,791,92,795
8499,823,249,407,500,1974,2152,1030,1364,683,683,1028,357,414,179,0,446
34542,2912,1256,2291,3035,7070,7898,4379,5701,266,719,3010,3205,3383,2397,436,1382
18431,1429,666,1161,964,2337,4186,2773,4915,1585,1012,1669,873,670,410,0,918
11250,1580,648,914,1000,1972,2320,1215,1601,0,63,431,539,704,532,178,1322
35054,3030,1330,2184,2238,5799,7830,5007,7636,774,1315,3831,2254,1539,947,302,2113
13537,2255,1164,1573,1124,1950,2890,1448,1133,0,0,79,460,986,1036,485,1076
32212,2784,1121,1806,1822,5344,7891,4903,6541,1351,1827,3450,1923,1465,735,135,2065
11768,1099,590,932,810,2043,2756,1699,1839,0,120,875,1288,1026,551,128,588
64673,7593,3881,5858,4829,9605,14551,8335,10021,0,0,2262,4513,5772,5199,1249,2395
8220,935,364,614,823,1642,1833,959,1050,0,63,350,534,746,702,133,612
29180,2307,815,1419,1369,4455,6854,4516,7445,2404,2231,3455,1431,1205,498,0,1250
18076,1158,511,989,1122,2560,3629,2624,5483,735,793,1480,1304,860,455,0,1105
80996,9392,4605,7149,5929,12761,18420,10495,12245,0,603,4521,5835,6236,5325,993,3393
18608,2171,840,1263,1281,3322,4227,2265,3239,165,348,1641,1278,1403,991,232,459
10060,608,258,448,547,1475,2144,1584,2996,693,626,1242,522,503,171,39,267
35159,3962,1875,2765,2319,5896,8411,4674,5257,0,498,2907,2277,2146,1577,532,2358
40709,4859,2462,3616,3103,6530,9120,5065,5954,0,226,1626,2297,3615,2478,745,2153
50281,5018,2637,4144,3665,7181,11456,6749,9431,0,160,2659,3792,3816,3514,797,2167
1171,150,58,94,99,170,199,153,248,0,3,31,39,74,77,20,88
613,58,32,54,28,67,139,73,162,0,0,9,24,42,38,11,24
62049,7662,3931,5610,4791,10083,14257,7486,8229,0,199,2541,3928,5042,4576,1500,2907
2938,449,265,308,188,332,617,373,406,0,0,6,102,133,230,109,352
9163,632,285,513,608,1262,1795,1446,2622,787,705,1161,315,280,95,51,204
34188,3117,1512,2429,2297,5088,7598,5008,7139,318,929,3234,2212,2364,1545,232,1336
77356,8177,3902,6256,5582,11741,16641,10764,14293,0,849,4426,5640,5681,4438,1152,3779
9797,1081,402,762,817,1681,1894,1241,1919,40,79,340,610,662,785,65,559
2686,265,114,206,187,382,534,281,717,0,15,157,146,265,150,44,192
7786,939,362,561,799,2126,1860,591,548,171,338,405,223,277,407,65,331
126509,17058,8493,12346,10506,21851,29095,14114,13046,0,87,2295,5695,10321,11811,3246,8692
14523,1126,562,864,695,1588,3190,2349,4149,1453,917,1114,633,390,183,0,372
28697,1925,662,1223,1372,4809,6024,4316,8366,4038,2107,3976,1249,980,332,0,1105
16839,1381,616,1078,1025,2463,4243,2958,3075,1726,1273,1698,698,551,163,77,403
6320,553,215,325,309,1140,1439,847,1492,263,416,758,405,294,121,46,192
60283,5595,2806,4607,4225,9411,13709,8505,11425,174,1104,3863,3913,4446,2550,775,3982
49560,5790,3095,4451,3774,7653,11037,6418,7342,0,296,1865,2787,3682,3167,820,3215
54768,6516,3238,4985,4046,8717,12205,7022,8039,0,263,1693,3101,3717,4339,1166,3325
32478,3601,1979,2918,2432,4363,7380,4119,5686,0,50,948,1975,2584,2491,640,2127
47390,5495,2914,4137,3517,7150,10649,5843,7685,0,109,1135,3306,3579,3677,840,2803
27006,3428,1746,2531,1917,4345,6596,3391,3052,0,0,1180,1653,2053,1392,361,2122
226226,36395,18167,25637,18360,36577,48286,24757,18047,0,0,1389,8020,18403,21117,6680,14325
4846,240,123,332,704,1337,948,631,531,222,251,423,225,135,60,0,227
40368,3331,1594,2672,2466,6488,9228,5974,8615,458,1310,4288,2831,2800,1619,350,1735
22119,1179,447,898,1629,5257,4723,3167,4819,1505,1465,3593,1662,950,524,0,1649
221487,34983,17783,25079,18525,36410,50773,21793,16141,0,0,1584,7343,17662,19980,6016,15001
34137,5241,2659,3718,2898,5659,7333,3557,3072,0,0,395,1353,2652,3087,640,1690
956,112,45,50,64,149,214,110,212,15,15,59,38,61,49,8,57
30584,1266,627,1788,3466,6581,6556,4076,6224,1102,1663,4513,3041,2541,1370,171,2366
26273,4397,2280,3270,2125,3859,5962,2569,1811,0,0,0,562,1656,2446,776,2568
4099,459,188,320,261,746,1043,448,634,49,107,286,277,230,202,68,347
23161,3889,1951,2736,1805,3307,4765,2534,2174,0,0,61,535,1404,1870,770,2200
72861,9947,4836,7238,5891,11559,16912,8367,8111,0,0,1311,3617,6362,6093,1698,4378
5869,830,368,661,752,1076,1142,490,550,3,9,31,89,176,479,173,671
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111206,16484,8577,12858,9547,17088,24470,11846,10336,0,0,785,3694,7959,9511,3053,8799
25966,3743,1862,2673,2059,4208,5754,2968,2699,0,0,292,1107,1789,2042,752,2253
66237,8975,4634,7149,5466,9973,15487,7701,6852,0,0,801,3295,5593,5384,1858,3719
111222,17003,8773,12710,9168,17490,24712,12051,9315,0,0,460,3439,8854,9741,3254,8023
8687,906,432,616,546,1650,2049,1039,1449,540,325,559,327,320,341,92,552
59777,5267,2744,4446,3944,8830,13377,9136,12033,123,1261,5006,4256,4048,3114,734,2563
6663,819,336,613,677,1264,1514,668,772,0,27,254,429,618,501,102,471
35453,5930,3002,4103,2762,5653,8421,3315,2267,0,0,139,1061,2901,3579,1200,2271
23761,2331,961,1537,1587,4169,5652,3077,4447,395,757,2090,1825,1874,915,296,1213
150639,20958,10747,16137,12378,24911,34039,17027,14442,0,171,2811,6733,12119,11877,4183,9010
29609,2158,936,1643,1519,3980,6584,4451,8338,1427,1895,3867,1945,1175,443,188,792
65699,9282,4677,7315,5265,10121,14518,7289,7232,0,0,771,2860,5288,5624,1846,4508
81739,11352,5657,7985,6516,13944,18835,8928,8522,0,0,1688,3964,6990,7392,2199,4925
48963,7828,3681,5472,4537,9106,10769,4541,3029,0,0,460,1603,4150,4073,1899,3333
20765,1116,499,1228,1630,2701,3833,3058,6700,1760,1695,2554,1137,807,397,0,1212
6843,685,353,557,455,1004,1715,913,1161,35,93,463,509,440,295,100,333
136563,20724,10471,15429,11234,21246,31199,14642,11618,0,0,1338,5219,10458,11951,4113,8549
20918,1755,790,1237,1204,2933,4729,3070,5200,426,678,2475,1535,1429,788,239,472
58350,7373,3689,5662,4416,9431,13558,7198,7023,0,204,1197,3330,4804,4491,1046,2866
21723,1593,727,1226,1146,2889,4877,3378,5887,129,625,2087,2125,1821,812,241,734
35554,3868,1970,3014,2698,5528,7934,4728,5814,0,159,1449,2632,2809,2298,582,1852
47381,5868,3077,4580,3675,7157,10641,5704,6679,0,126,963,2758,3218,3861,1306,3172
35751,4899,2203,3169,2399,5596,8213,4328,4944,0,132,1581,2152,2320,1998,448,2855
37618,3279,1548,2481,2636,6101,8322,5526,7725,67,741,4060,2718,2346,1539,523,2060
46494,4899,2411,3618,3156,6721,9758,6471,9460,0,460,2354,3062,3597,2758,629,2464
3549,476,224,369,269,518,885,357,451,0,0,120,160,244,218,86,304
31415,4718,2117,3241,2567,5803,7083,2944,2942,108,383,1296,1303,1940,2656,874,1940
47028,5597,2614,4039,3411,7414,11339,6045,6569,984,1228,3088,2247,2696,2755,719,2138
21004,1700,772,1219,1262,3286,4677,2876,5212,532,927,2287,1219,1187,577,166,1145
33826,2749,1406,2393,2076,4271,7672,5383,7876,682,1169,2621,2140,1734,1193,274,2107
83297,11615,5835,8441,6928,14246,18555,9064,8613,0,0,1124,3574,6656,7596,2352,5810
96936,12193,6071,8872,7678,15583,21924,11127,13488,0,426,2919,4953,7519,6689,1870,7357
97231,11708,5603,8106,6756,16916,20296,13403,14443,0,0,2753,7110,9123,6938,1707,4777
71478,8424,4064,6215,5522,10708,15230,9091,12224,0,181,2487,3824,6368,5703,1343,3196
42436,5448,2631,3976,3164,6995,9713,5139,5370,0,159,1732,2510,3206,3217,304,2589
101574,18123,8776,11974,8225,16715,23078,8854,5829,0,0,348,2441,7448,9087,3529,8170
36745,3761,1984,3141,2635,5254,8386,4936,6648,0,332,1330,2361,3403,2656,349,1957
60445,6429,3209,5073,4436,8446,13552,8411,10889,0,0,1828,3384,5143,3737,1289,4425
9340,587,287,546,511,1213,1923,1488,2785,195,422,882,637,614,218,97,463
20201,1456,709,1208,1145,2532,4323,3234,5594,626,746,1963,1313,1120,596,124,796
96382,15442,7864,10732,8112,15819,21046,9318,8049,0,0,768,2964,6994,8334,2369,7892
81544,11693,6057,9203,6634,12415,18266,8918,8358,0,0,812,2987,5973,6891,2277,6097
51766,7878,3971,5692,4296,8335,12527,5109,3958,0,0,537,2185,4525,4041,1373,2888
104091,13522,6932,10639,8089,16373,23483,12095,12958,35,415,2311,4891,7969,7727,2134,6809
53988,5297,2509,3897,3501,8143,12363,7499,10779,402,1173,3783,3897,3814,2787,562,2574
13371,981,470,745,588,1349,2888,2091,4259,2068,722,1230,374,299,67,0,505
109270,15503,8006,11986,8789,16643,24380,11941,12022,0,0,929,3983,7080,8041,3037,10127
44632,6174,2831,4344,3414,7869,9846,4810,5344,0,100,1499,2027,3174,3625,973,2494
21892,2225,993,1638,1411,3530,5423,2847,3825,599,905,2461,1324,1167,829,23,718
2115,106,70,125,119,232,434,366,663,234,116,123,38,48,17,0,82
41106,3942,1938,3065,2552,5828,10467,6186,7128,1171,2074,4800,1973,1900,1174,294,1539
41379,5250,2316,3792,3701,8242,8735,4540,4803,94,757,2584,2124,2273,2025,615,3046
140491,19639,9538,13959,11938,23786,30913,15270,15448,0,66,2364,6292,11478,11739,3683,9706
71100,10342,4933,7115,5934,12443,16047,7418,6868,2,44,1209,3395,5805,5707,1548,4987
36761,5061,2415,3706,2922,5711,8491,4258,4197,0,0,991,1766,2619,2761,704,2814
20559,1255,469,956,1216,3887,4408,3038,5330,1412,1281,3223,1259,1126,609,0,958
72503,11237,5477,8017,6113,11853,15409,7607,6790,0,0,750,3201,6148,5820,1792,4527
79313,10668,5268,7816,6449,12770,17994,9271,9077,0,146,2321,4372,6615,6236,1957,3671
22845,2482,1100,1719,1525,3660,4714,3120,4525,209,418,1567,1272,1433,1186,239,1583
22828,2563,1306,2020,1714,3330,5107,3015,3773,0,244,1099,1293,1838,1472,444,951
81240,11719,6209,8941,6699,12672,18304,8444,8252,0,0,831,3357,5904,7488,1853,5878
35132,5365,2690,3833,2917,5873,7424,3593,3437,0,0,370,1014,2625,3105,800,2915
78224,10418,5028,7417,6366,13427,17767,9080,8721,0,217,2311,4165,5867,5759,1737,5746
40848,2863,1479,2626,2438,5388,8709,6683,10662,1222,1754,4571,2724,2301,1160,489,1248
51237,7035,3399,4973,3976,8761,11729,5927,5437,139,215,1724,3261,4142,3477,1001,2856
11416,808,383,565,560,1499,2497,1716,3388,1202,588,1007,520,353,189,0,767
14218,1430,557,891,795,1818,3556,2088,3083,1065,655,1142,843,421,219,0,990
4298,301,151,243,275,519,935,694,1180,531,140,181,72,98,73,31,189
20549,1975,893,1445,1156,2933,5201,2824,4122,713,791,2318,1346,977,585,186,606
45549,6820,3413,4962,3684,7362,9905,5099,4304,0,0,444,1826,3894,3781,1178,3155
23949,1421,644,1187,1821,4730,6048,3412,4686,0,430,2080,3334,2802,2089,367,1606
